29180.732 3.885036 3.8849385 3.8850385 100000 0 102322 171679 201482 261 100 119 241 258 1.678312 1.1730106 2.347845e-05 -0.51778853 -0.15957361 102.039 0.611777 0.553531 -8.2031 102221 171559 201241 2
29182.983 3.8847027 3.8846385 3.8846885 100000 0 102356 170147 196594 260 100 119 241 258 1.6627718 1.1548315 1.3691208e-05 -0.50848597 -0.14395445 102.029 0.611788 0.553453 -8.20882 102255 170027 196353 1
29185.608 3.8843694 3.8842885 3.8843885 100000 0 102320 168322 191355 261 100 119 241 258 1.6455037 1.1362145 2.3478909e-05 -0.49804654 -0.12770212 102.022 0.611799 0.553391 -8.22104 102219 168202 191114 2
29187.859 3.8840362 3.8839885 3.8840385 100000 0 102255 165777 183706 258 100 119 241 258 1.6216374 1.1074966 -5.8734621e-06 -0.48343638 -0.10210215 102.011 0.611796 0.553337 -8.23142 102154 165657 183465 0
29190.86 3.8837031 3.8835885 3.8836385 100000 0 102087 161697 172316 260 100 119 241 258 1.5843034 1.0649695 1.3727321e-05 -0.46014482 -0.06294616 102.002 0.611857 0.553489 -8.2285 101986 161577 172075 1
29193.487 3.8833699 3.8832385 3.8833885 100000 0 101922 157086 159689 259 100 119 241 258 1.5415856 1.0158098 3.9284473e-06 -0.4328115 -0.015686127 101.991 0.611862 0.55357 -8.21631 101821 156966 159448 0
29195.74 3.8830369 3.8829385 3.8830385 100000 0 101731 149831 140126 261 100 119 241 258 1.4730966 0.93436438 2.3614981e-05 -0.38736672 0.067888788 101.984 0.611831 0.55358 -8.20513 101630 149711 139885 2
29197.992 3.8827039 3.8826385 3.8826885 100000 0 101837 138455 111564 260 100 119 241 258 1.3597434 0.80473256 1.3761053e-05 -0.30729601 0.21724528 101.97 0.61186 0.553693 -8.19662 101736 138335 111323 1
29200.245 3.8823709 3.8822885 3.8823885 100000 0 101911 123264 79004 265 100 119 241 258 1.2095464 0.63959872 6.2861947e-05 -0.19024541 0.4469143 101.962 0.611856 0.55377 -8.18827 101810 123144 78763 6
29203.249 3.8820381 3.8819385 3.8820385 100000 0 101751 99879 43092 264 100 119 241 258 0.98139702 0.42954348 5.3123254e-05 0.018778192 0.84503231 101.95 0.611816 0.553831 -8.16915 101650 99759 42851 5
29205.503 3.8817052 3.8816385 3.8816885 100000 0 101673 79107 22145 265 100 119 241 258 0.77764629 0.27731005 6.3009243e-05 0.2514835 1.2826191 101.94 0.611772 0.55382 -8.165 101572 78987 21904 6
29207.757 3.8813725 3.8813385 3.8813885 100000 0 101623 71201 15781 265 100 119 241 258 0.70015484 0.21862259 6.3040275e-05 0.35645377 1.5204084 101.933 0.611731 0.553726 -8.16413 101522 71081 15540 6
29210.387 3.8810398 3.8809885 3.8810385 100000 0 101939 75050 16602 266 100 119 241 258 0.73577747 0.21834929 7.2664142e-05 0.30682756 1.5216593 101.921 0.611717 0.553649 -8.17193 101838 74930 16361 7
29213.017 3.8807071 3.8806385 3.8806885 100000 0 101477 82026 19899 264 100 119 241 258 0.80794347 0.24000567 5.3266835e-05 0.21326319 1.4270927 101.91 0.611721 0.553539 -8.19011 101376 81906 19658 5
29215.648 3.8803745 3.8802885 3.8803885 100000 0 101725 86958 22705 264 100 119 241 258 0.85450345 0.2586874 5.3136845e-05 0.15723474 1.3521349 101.901 0.61179 0.553605 -8.19359 101624 86838 22464 5
29217.904 3.8800421 3.8799885 3.8800385 100000 0 102097 90101 24723 266 100 119 241 258 0.88220172 0.27207845 7.255158e-05 0.12533454 1.3016648 101.892 0.611826 0.553578 -8.20051 101996 89981 24482 7
29220.912 3.8797096 3.8795885 3.8796885 100000 0 102331 92523 25833 264 100 119 241 258 0.90387399 0.27695951 5.2821861e-05 0.10106532 1.283884 101.881 0.611855 0.553551 -8.20624 102230 92403 25592 5
29223.168 3.8793772 3.8792885 3.8793885 100000 0 101522 93543 25942 263 100 119 241 258 0.9211409 0.27510238 4.3383349e-05 0.082142269 1.290612 101.869 0.61183 0.553531 -8.2162 101421 93423 25701 4
29225.424 3.8790448 3.8789885 3.8790385 100000 0 102409 95869 26106 264 100 119 241 258 0.93588992 0.27013224 5.278159e-05 0.066257416 1.3088437 102.323 0.61176 0.553384 -8.21828 102308 95749 25865 5
29228.433 3.8787125 3.8785885 3.8786885 100000 0 102439 96806 26000 263 100 119 241 258 0.94477146 0.26641803 4.2994614e-05 0.056812222 1.3226887 102.309 0.611671 0.553224 -8.2288 102338 96686 25759 4
